Title,Rating,Address,Dealings,Service_1,Cost_1,Service_2,Cost_2,Service_3,Cost_3,Service_4,Cost_4,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
La Fazou Beauty Lounge,5.0,"369M+5M, Dubai Arjan-dubailand, Al Barsha South",Women only,Hair Extension Application per Piece,aed 25,Hair cut,aed 250,Hair Botox,aed 700,KI8,aed 150,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm
Version Francaise Pour Elle,5.0,"Villa 873, Al Wasl Road, Dubai Al Safa, Al Safa 2",Women only,Japanese Head Spa,aed 550,KERASTASE LUXURY PROTOCOLS,aed 70,KERASTASE - Première Treatment,aed 275,Kerastase Treatment | Fusiodose 1booster,aed 175,9:30 am - 7:30 pm,9:30 am - 7:30 pm,9:30 am - 7:30 pm,9:30 am - 7:30 pm,9:30 am - 7:30 pm,9:30 am - 7:30 pm,9:30 am - 2:30 pm
Niche Hair and Beauty Salon,5.0,"Niche Hair & Beauty Salon, Sobha Hartland, Dubai, One Park Avenue, دبي ند الشبا 1",Women only,Extensions Fixing,from aed 160,Brae Smoothing Treatment-Application Extra Long,aed 799,Bespoke Transformation Gold,"from aed 2,519",Hair Consultation,aed 110,9:00 am - 9:00 pm,9:00 am - 9:00 pm,9:00 am - 9:00 pm,9:00 am - 9:00 pm,9:00 am - 9:00 pm,9:00 am - 9:00 pm,9:00 am - 9:00 pm
Barbero Gentlemen's Lounge,4.9,"Roda Al Morouj Aparment Building A - Financial Center Rd, Dubai",Men only,PROTEIN,aed 525,Colour Camo,aed 105,Hair treatment long hair,aed 250,PROTEIN,aed 630,9:00 am - 11:00 pm,9:00 am - 11:00 pm,9:00 am - 11:00 pm,9:00 am - 11:00 pm,9:00 am - 11:00 pm,9:00 am - 11:00 pm,9:00 am - 11:00 pm
Vog Beauty Salon For Ladies,5.0,"Unnamed Road, 38VC+PW9, دبي Majan",Women only,Full Hair Color,from aed 200,Hair trim Layer,from aed 120,Hairwash and blowdry medium to long,aed 150,Hair Cream ( Normal ),aed 90,Not found,Not found,Not found,Not found,Not found,Not found,Not found
R Style Salon,4.8,"Rstyle Beauty Salon, Burj Khalifa Blvd, Burj Khalifa Boulevard, Dubai Downtown Dubai",Not specified,Hair Extension One by One (1pc),from aed 6.60,Hair Mask RStyle + Normal Blowdry,aed 198,ison vegan treatment,aed 300,Hair Cut,aed 264,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm
HEARTS | space of beauty,5.0,"HEARTS | space of beauty, 304 Jumeirah Street, Dubai Jumeirah, Jumeirah 2",Not specified,Haircut,aed 400,Botox Brae,"aed 1,100",Consultationt,aed 0,Botox Brae Puring Express,aed 350,9:00 am - 9:00 pm,9:00 am - 9:00 pm,9:00 am - 9:00 pm,9:00 am - 9:00 pm,9:00 am - 9:00 pm,9:00 am - 9:00 pm,9:00 am - 9:00 pm
Amber Gents Salon - Paramount,4.9,"Paramount Hotel, Damac Towers - Business Bay, Abraj Street - Marasi Dr, Dubai",Men only,Hair Color,aed 175,SP Color,aed 150,Hair Dry Treatment,aed 50,Keratin,from aed 300,10:30 am - 9:00 pm,10:30 am - 9:00 pm,10:30 am - 9:00 pm,10:30 am - 9:00 pm,12:30 pm - 9:00 pm,10:30 am - 9:00 pm,10:30 am - 9:00 pm
Lish Beauty Bar,4.9,"Cluster M, Dubai Jumeirah Lakes Towers",Women only,Deep Conditioning Mask Add On,aed 50,HAIR EXTENSION CONSULTATION,free,Hair Cut,from aed 50,Hair Color / Toner / Roots,free,9:00 am - 9:00 pm,9:00 am - 9:00 pm,9:00 am - 9:00 pm,9:00 am - 9:00 pm,9:00 am - 9:00 pm,9:00 am - 9:00 pm,9:00 am - 9:00 pm
Alina Beauty Space,4.8,"Living Legends, Andalusia Court Yard Mall, Shop 26, Dubai",Women only,MOREMO TREATMENT SHORT,aed 550,MOREMO TREATMENT LONG,aed 650,roots color application,aed 82,blast dry,aed 28,12:00 pm - 8:00 pm,12:00 pm - 8:00 pm,12:00 pm - 8:00 pm,12:00 pm - 8:00 pm,12:00 pm - 8:00 pm,12:00 pm - 8:00 pm,12:00 pm - 8:00 pm
